affiliate_id,affiliate_name,candidate
381,Donald Lee Rowan,Donald Trump
382,Friends of Joan Elizabeth Seamans,Elizabeth Warren
383,OLSON FOR CONGRESS COMMITTEE,Pete Buttigieg
384,FUNK FOR CONGRESS,Joe Biden
385,Committee to Elect Mike Watson County Commissioner,Mike Bloomberg
386,Dump Trump Cookies,Donald Trump
387,Ronald David Bailey,Mike Bloomberg
388,Andrew David Knapp,Andrew Yang
389,Hoosiers for Mike Neal,Mike Bloomberg
390,Joel M Blue,Joe Biden
392,Metric Media LLC,Elizabeth Warren
393,Christopher  Cooper,Donald Trump
394,Joe Harding for State Representative,Joe Biden
395,Ohioans for Mike Rasor,Mike Bloomberg
397,Joe Drago for Texas House District 96,Joe Biden
398,Richard Klein,Donald Trump
399,Andrew Robert Mendez,Andrew Yang
400,Michael Garrett,Mike Bloomberg
401,Suzanne Guggenheim,Donald Trump
402,TrumpSuks LLC,Donald Trump
403,Star Statues,Donald Trump
404,Trump Supply Co.,Donald Trump
406,Vote Volosin,Pete Buttigieg
407,Trump Champiom,Donald Trump
408,Maryjo Sheeley,Elizabeth Warren
409,Michael Clifford,Mike Bloomberg
410,Committee to Elect Scott Andrews,Andrew Yang
411,Joseph Ross Gallo,Joe Biden
412,Michael Howard Williams,Mike Bloomberg
413,Trump Champion,Donald Trump
414,Jay H Schroeder,Donald Trump
415,League of Women Voters of the St. Petersburg Area,Pete Buttigieg
416,Peter Craig Fosselman,Pete Buttigieg
417,Miranda Marie Mendozarobinson,Mike Bloomberg
418,Michael Calvin Hollinshead,Mike Bloomberg
419,Julian  C Janssen,Bernie Sanders
420,Howard Marshall Konicov,Bernie Sanders
421,David None Barlavi,Bernie Sanders
422,In the Eye Designs LLC,Donald Trump
423,Maurice Lane Ponsart,Donald Trump
424,Rep Republican,Donald Trump
425,Curtis Ray Carberry,Pete Buttigieg
426,Cape Cod For Bernie,Bernie Sanders
428,LABRUNO FOR DUMONT 2019,Andrew Yang
429,Trump Geeks,Donald Trump
430,State Senator Peter J. Lucido,Pete Buttigieg
431,Gop Store Co,Donald Trump
432,DETMER FOR CONGRESS,Mike Bloomberg
433,Committee to Elect Donald Schmidt,Donald Trump
434,James Roscoe Hamilton,Pete Buttigieg
435,Shannon Moore,Donald Trump
436,Mike Ward for Irmo SC,Mike Bloomberg
437,Trump Girl TX,Donald Trump
438,Joseph Patrick Reed,Joe Biden
439,Kevin R Mccarthy,Donald Trump
440,Michael Joe Bagley,Mike Bloomberg
441,Peter Brent Gordon,Pete Buttigieg
445,New York Republican Assembly Campaign Committee,Mike Bloomberg
447,I Can't Quit You Pete,Pete Buttigieg
448,Joel Krautter for House,Joe Biden
449,Trump Nation,Donald Trump
450,Andrew Franklin Johnson,Andrew Yang
451,Friends of Andrew Wilson,Andrew Yang
452,Andrew Lachman for DNC,Andrew Yang
453,Citizens for Lake County Board & Lake Forest Alderman,Mike Bloomberg
454,Samuel Joseph Danna,Joe Biden
455,Noel Andrew Cookman,Donald Trump
456,Jonathan Todd Allen,Bernie Sanders
457,Clive C Coogan,Pete Buttigieg
458,Friends of Andrew Ziffer,Andrew Yang
459,Mike Yoder for County Commissioner,Mike Bloomberg
460,Joel M Spitzer,Joe Biden
461,Mike Pusley Campaign,Mike Bloomberg
463,William Edward Regan,Donald Trump
464,Joe Gruters for Florida State Senate (District 23),Joe Biden
465,AMERICANS FOR TRUMP INC.,Donald Trump
466,Altamar LLC,Pete Buttigieg
467,Fishknee Company I,Mike Bloomberg
468,Planet Earth TRumped,Donald Trump
469,Law Office of Andrew C. Dodgen,Andrew Yang
470,Andrew Roble For Whittier City Council,Andrew Yang
471,Christopher Wilson,Bernie Sanders
472,Joseph Anthony Garritano,Joe Biden
473,Andrew W Wilson,Andrew Yang
474,Denise None Riley,Donald Trump
475,BMC Productions,Donald Trump
476,Joseph H Zullo,Joe Biden
477,Joseph Albert Markey,Joe Biden
478,Winston-Salem for Bernie,Bernie Sanders
479,Miles R Fidelman,Bernie Sanders
480,Julian Raven Artist,Donald Trump
482,Holter For PA,Andrew Yang
483,R&H ECOMMERCE LLC,Donald Trump
484,McDonald for Assembly,Donald Trump
486,"King Trump Enterprises, LLC",Donald Trump
487,JACKIE SHAY MCNEAL-POULIN,Donald Trump
488,Into The Garbage Chute,Donald Trump
489,Melanie Sage Nowlin,Bernie Sanders
491,Alliance for a Better Minnesota Federal PAC,Donald Trump
492,Michael A Vincitorio,Donald Trump
493,Pro-Trump Merchandise,Donald Trump
494,International Web Concepts In,Donald Trump
495,Trump Wear,Donald Trump
496,Trump is Garbage,Donald Trump
497,Tara Capri,Donald Trump
498,Mike Sisk,Mike Bloomberg
499,Angela Marie Macdonald,Donald Trump
500,Imran M Jemal,Bernie Sanders
501,Michael George Saoma,Mike Bloomberg
502,Joshua Roy James,Donald Trump
503,Joseph Antonio Abeyta,Joe Biden
504,Brian D Healy,Donald Trump
507,Committee to Elect Mike Nicley,Mike Bloomberg
508,American Observer LLC,Donald Trump
509,Railroaders for Joe Biden 2020,Joe Biden
510,Michael Bracchi,Mike Bloomberg
511,Cambria County Republican Committee,Donald Trump
512,Mike Turner for Dorchester County Sheriff,Mike Bloomberg
513,Mohamed Salah Eldin Ahmed,Andrew Yang
514,Andrew William Plotner,Andrew Yang
515,TrumperNation.com,Donald Trump
516,John Douglas Beacham,Bernie Sanders
517,Angelique Dalemarie Orman,Bernie Sanders
518,Derek Greg Morris,Bernie Sanders
519,Jennifer Doris Metzger,Donald Trump
520,Aaron St. Clair,Andrew Yang
521,Joshua Cody Larsen,Donald Trump
522,TRUMP DELEGATES LLC,Donald Trump
523,New Hampshire Young Republicans,Joe Biden
524,Teran Elizabeth Peterson,Pete Buttigieg
525,RadTom - Bernie Merch,Bernie Sanders
526,Joseph Stephen Krzywoszyja,Andrew Yang
527,Hunter Sanders,Bernie Sanders
528,James Ward Beatty,Donald Trump
529,Elizabeth S Mcloughlin,Elizabeth Warren
530,Shaine Shahin Ebrahimi,Donald Trump
531,Robert Caton,Pete Buttigieg
532,William Terrell Smith,Donald Trump
533,Dale Demers,Joe Biden
534,Richard Finkel,Elizabeth Warren
535,Dumps for Trump,Donald Trump
536,Jonathan David Fair,Donald Trump
537,Peter Vincent Kelleher,Donald Trump
538,"Matfa, LLC",Donald Trump
540,York PA Volunteers for Bernie Sanders,Bernie Sanders
541,Youssef Ali Husseini,Joe Biden
542,Robert P Leary,Donald Trump
543,Rep. Peter DeFazio,Pete Buttigieg
544,Murrey Joseph Grider,Joe Biden
545,Congressman Pete Olson,Pete Buttigieg
546,Michnael Loris Millard,Donald Trump
547,Charles Michael Currie,Bernie Sanders
548,ELIZABETH BOWERS ZAMBIA EDUCATION FUND,Elizabeth Warren
549,Larry Douglas Snider,Bernie Sanders
550,Truckers For Trump 2020,Donald Trump
551,Joseph Patrick Davis,Joe Biden
552,Stephen Anthony Curry,Pete Buttigieg
553,Spark Ignite LLC,Joe Biden
554,Joseph D Major,Joe Biden
555,Friends of Mike Winder,Mike Bloomberg
556,Sonja Denise Bennett,Mike Bloomberg
557,Alexander Raul Biancardi,Donald Trump
558,Friends of Mike Heckmann,Mike Bloomberg
559,Eric Aurin Peterson,Pete Buttigieg
560,James T Girvan,Donald Trump
561,Robert Winsler,Mike Bloomberg
562,Prakhar Jain,Andrew Yang
563,James R Oddo,Donald Trump
564,Stephen Walker Brown,Donald Trump
565,Joseph David Jeffries,Joe Biden
566,Michael Aaron Neal,Mike Bloomberg
567,AARON MATTHEW7 TYRRELL,Bernie Sanders
568,Gary Shawn Tucker,Donald Trump
569,Christopher Todd Hardeman,Joe Biden
571,Clermont for Trump,Donald Trump
572,Freeman Ng,Donald Trump
573,Metric Media LLC,Joe Biden
574,BestTrumpShirts.com,Donald Trump
575,MCLEOD FOR SENATE,Elizabeth Warren
576,Trump2020 Merica,Donald Trump
577,Joseph A Scott Baratta,Joe Biden
578,Pedro Jr Lozano,Pete Buttigieg
579,Matthew Conner Morganti,Donald Trump
580,The Trump Network,Donald Trump
581,Joseph Michael Walsh,Joe Biden
582,Carson Mack Butler,Donald Trump
583,Paul Schifferer,Joe Biden
584,Mike Schmidt for Multnomah DA,Mike Bloomberg
585,Felix Manuel Cordova,Donald Trump
586,Mimi Rocah for DA,Donald Trump
587,CONSERVATIVE COALITION OF NC,Donald Trump
588,Trump Cereals,Donald Trump
589,Michael E Dooley,Mike Bloomberg
590,Darren Nicholas Martin,Mike Bloomberg
591,John Edward Smythe,Donald Trump
592,Mykaela Janette Mc Grew Higgins,Elizabeth Warren
593,Jeffrey Stewart Newton,Donald Trump
594,NJ for Elizabeth Warren,Elizabeth Warren
595,2020 Trump Package,Donald Trump
596,Anthony Michalisko,Donald Trump
597,MILLS FOR WV,Andrew Yang
598,Andrew James Swetland,Bernie Sanders
599,Benjamin John Miller,Donald Trump
600,Daniel Robert Chaleff,Pete Buttigieg
603,Mark J Drummond,Donald Trump
604,Bernietees.us,Bernie Sanders
605,Robert Elwood Myers,Andrew Yang
607,Willemsen for Senate,Mike Bloomberg
608,Brandon Bernier,Bernie Sanders
610,Joseph Savoy Mc Laughlin,Elizabeth Warren
612,Andrew T. Smith,Bernie Sanders
613,Davaughn Vincent Wistrom,Donald Trump
614,Impeach Trump Run,Donald Trump
615,Michael Dale Brown,Mike Bloomberg
616,Maria Veda Martinez,Bernie Sanders
617,Michael L Hill,Mike Bloomberg
618,Jason Thomas Winslow,Donald Trump
619,Michael Nwoke Lekwuwa,Donald Trump
620,Latinos for Trump,Donald Trump
621,Anti Trump Clothing,Donald Trump
622,Michael David Caskey,Mike Bloomberg
623,Alexandra Maros,Elizabeth Warren
624,Sean Jacob Dougherty,Bernie Sanders
625,Jonatas Neiva,Donald Trump
626,Andrew Patrick Shepard,Bernie Sanders
627,Trump My Pet,Donald Trump
628,Derek Christopher Zdarstek,Mike Bloomberg
629,John Derrick Bowen,Bernie Sanders
630,Peter  Petrigno,Pete Buttigieg
631,Cheryl  Groomer,Donald Trump
632,David Slossberg,Mike Bloomberg
633,Misty Mechelle Mercado,Donald Trump
634,Israel Juarbe,Donald Trump
635,Brett Alan Cohen,Donald Trump
636,Lynn McDonald for Hood County Commissioner Precinct 1,Donald Trump
637,Jonathan Michael Ayoub,Donald Trump
640,COLIN SANDERS AL-GREENE,Joe Biden
641,Pensacola for Pete,Pete Buttigieg
642,Ariel Nicole Moraa Salmon,Donald Trump
643,Hillsborough County NH Republican Committee,Pete Buttigieg
644,Lawrence Adam Trepel,Donald Trump
645,Committee to Elect Joe Hardy Jr,Joe Biden
646,Stephen A. Heitmann,Bernie Sanders
648,Perry Warren for State Representative,Elizabeth Warren
649,Mike Laing for Sheriff,Mike Bloomberg
650,Friends of Mike Murphy,Mike Bloomberg
651,BIDEN FOR PRESIDENT,Donald Trump
652,Douglas L Blair,Donald Trump
655,Jeffrey Aaron Brown,Donald Trump
656,Jennifer Inman Little,Donald Trump
657,Jake Rowan Clifford,Donald Trump
658,James Robert Long,Donald Trump
659,Geoffrey Danker Peart,Pete Buttigieg
660,Joseph Matthew Briggs,Joe Biden
663,Kelley Turner Franks,Pete Buttigieg
664,Elizabeth Romero for Senate District 28,Elizabeth Warren
665,Office of Wisconsin State Representative Warren Petryk,Elizabeth Warren
666,Anti Trump T Shirts,Donald Trump
667,Steven A Cook,Donald Trump
668,Brian Michael Gallagher,Pete Buttigieg
669,LYNN CASEY-MAHER,Bernie Sanders
670,Citizens for Andrew Wick,Andrew Yang
672,David Christian Fawcett,Donald Trump
673,Aries Laser Design Inc,Donald Trump
674,Jeffrey S Nichols,Donald Trump
675,John Peter Block,Donald Trump
677,Jeremy William Price,Donald Trump
678,"Campaign for Mike Rogers, By Authority of Antonio Downing, Treasurer",Mike Bloomberg
679,Mike Grant for District 2 Supervisor 2020,Mike Bloomberg
680,Joseph John Larussa,Joe Biden
681,Mike Giallombardo Campaign,Mike Bloomberg
683,3DTrumpVision.com,Donald Trump
685,Jeffrey Robert Harding,Donald Trump
686,Sharyn Alexis Efimoff,Pete Buttigieg
687,Joel Gregory Ongert,Joe Biden
690,Free to Compete - Texas,Pete Buttigieg
691,Michael A Mclean,Mike Bloomberg
692,Matthew Rawlins,Pete Buttigieg
693,Halai LLC,Elizabeth Warren
694,Jason Walter Stepnoski,Pete Buttigieg
695,Joey Camp 2020,Joe Biden
696,Andrew Carlson for State Representative,Andrew Yang
697,Andrew Vance Wood,Donald Trump
698,Robert Caton,Joe Biden
699,Ryan A Gass,Donald Trump
700,MIKE BROIHIER FOR SENATE,Mike Bloomberg
701,Trumptrain2020.store,Donald Trump
702,Leila T Choudhury,Bernie Sanders
703,Troy Lorenzo Davis,Bernie Sanders
704,Maine House Majority,Elizabeth Warren
705,John Douglas Rader,Donald Trump
706,Mike Mirabal For Miami Dade County Court Judge,Mike Bloomberg
707,Gaetano Thomas Ravana,Donald Trump
709,Joseph Moreaux,Joe Biden
710,Donald For Sparks,Donald Trump
711,Teresa E Mazzoni,Joe Biden
712,WARREN COUNTY VA DEMOCRATIC COMMITTEE,Elizabeth Warren
713,John Gromada,Donald Trump
715,Robert Floyd Smith,Pete Buttigieg
716,Ross Patrick Cinque,Donald Trump
718,TFY PAC,Andrew Yang
720,Rebecca Lynn Rinke,Donald Trump
721,Citizens for Andrew J Hopkins,Andrew Yang
722,Committee to Elect Angela Rogensues,Elizabeth Warren
724,Restituto Cuelzlo Malia,Donald Trump
725,Dennis K Byrd,Bernie Sanders
726,Vincent Thomas Thompson Solito,Donald Trump
727,Joe Daniel Guerra,Pete Buttigieg
728,Zeljko Radovanovic,Bernie Sanders
729,Peter W Beadle,Pete Buttigieg
730,Merle Elizabeth Arabie,Elizabeth Warren
731,Anthony Husoskey,Mike Bloomberg
732,Mike Crawford for Sheriff,Mike Bloomberg
733,Keith David Ruenheck,Donald Trump
734,Victoria A Fuller,Donald Trump
735,Reagh P Greenleaf,Bernie Sanders
736,Quang Thanh Dang,Pete Buttigieg
737,Joel C Prescott,Joe Biden
738,James Richard Griffin,Donald Trump
739,Trumpshine State,Donald Trump
740,Aerion A Abney,Andrew Yang
741,Daniel Clay Parker,Donald Trump
742,Committee to Elect Andrew Beeler,Andrew Yang
743,Coleman A Williams,Bernie Sanders
744,Thomas Patrick Calarco,Bernie Sanders
746,Joe P. Herrera Campaign,Joe Biden
747,Peter Amundson,Pete Buttigieg
749,Michelle  Akers,Bernie Sanders
750,Frederick Michael France,Mike Bloomberg
752,Friends of Joe Zitzelsberger,Joe Biden
753,Matthew James Maiatico,Pete Buttigieg
756,Peter T Harrison,Pete Buttigieg
757,Joel for Wilmette,Joe Biden
760,Derek Robert Puterbaugh,Elizabeth Warren
761,Warren E Greer,Elizabeth Warren
762,James P Harney,Joe Biden
763,trump2020swag,Donald Trump
765,Matthew Joseph Brett,Pete Buttigieg
766,Theodore Levy,Donald Trump
768,"Comité Amigos de José Aníbal ""Joey"" Meléndez",Joe Biden
769,Joseph Sarno Iii,Joe Biden
770,Michael B Fisher,Mike Bloomberg
773,Michael Hampton Huth,Donald Trump
775,Michael Alan Mcdonald,Donald Trump
776,Joe Earman for County Commission,Joe Biden
778,Bryan A Raffetto,Donald Trump
779,Joseph D Dicostanzo,Joe Biden
781,Taylor County Justice of the Peace Precinct 1 Place 1,Mike Bloomberg
785,Leslie Paige Hubert,Donald Trump
786,Joe Richard Pool Jr,Joe Biden
787,William Amnuai Werner,Andrew Yang
788,Lindsay Marie Stinchcomb,Elizabeth Warren
789,What Did Trump Tweet Today,Donald Trump
791,Shahab Shawn Moghadam,Joe Biden
794,Michael Gordon Sean Brand,Mike Bloomberg
795,Ernest Sanders,Donald Trump
797,Garrett Earl Kirschbaum,Donald Trump
798,Keep Livingston Great,Donald Trump
799,Leela Marques De Paula,Bernie Sanders
800,Jan Alyson Knauer,Donald Trump
801,Matthew Dylan Smith,Mike Bloomberg
802,Amy Caplinn Young,Donald Trump
806,Arlis Michael Snyder,Mike Bloomberg
807,Gordon Alan Wincott,Donald Trump
811,Brittany Allene Eames,Elizabeth Warren
812,Thanh Hai  Hoang,Donald Trump
813,Audra Leah Rouse,Elizabeth Warren
814,Committee to Elect Elizabeth Helminski,Elizabeth Warren
816,"Wireless Media, Inc.",Donald Trump
821,Michael P Mcmullen,Mike Bloomberg
822,Hotline Productions,Pete Buttigieg
823,William Leonard Hall,Donald Trump
831,Jason M Darmanin,Pete Buttigieg
833,Karen E Stevens,Bernie Sanders
835,Jamie Lee Smith,Bernie Sanders
847,Cory Lynn Trusty,Bernie Sanders
856,William Andrew Boyd,Bernie Sanders
857,Jose Anthony Camp,Joe Biden
859,Heather R Peters,Pete Buttigieg
864,Peter Edgar Feliciano,Pete Buttigieg
881,Michael J Remy,Mike Bloomberg
882,Tremain Stephen Dunlap,Donald Trump
883,Councilman Mike DeFusco,Mike Bloomberg
884,"Committee to Elect Michael ""Mike"" Cruz for Pinal County Assessor",Mike Bloomberg
886,Trump Merch 2020,Donald Trump
892,Troy Michael Flint,Elizabeth Warren
893,Yarenis Milette López De Jesús,Joe Biden
